Undergrad_Course_Title,Credit
CSC 398 - Special Topics in Computer Science,1 to 3 credit(s).
CSC 400 - Computer Science Project Seminar,3 credit(s).
CSC 421 - Theory of Programming Language,3 credit(s).
CSC 424 - System Administration,3 credit(s).
CSC 425 - Operating Systems,3 credit(s).
CSC 428 - Bioinformatics Algorithms,3 credit(s).
CSC 431 - Computer Graphics,3 credit(s).
CSC 443 - Internet Programming,3 credit(s).
CSC 451 - Fundamentals of Deep Learning,3 credit(s).
CSC 453 - Information Security,3 credit(s).
CSC 461 - Generative AI for Language Modeling,3 credit(s).
CSC 463 - Distributed and Parallel Computing,3 credit(s).
CSC 465 - Computer Networking and Security II,3 credit(s).
CSC 477 - Data Mining,3 credit(s).
CSC 481 - Artificial Intelligence,3 credit(s).
CSC 490 - Research in Computer Science I,3 credit(s).
CSC 491 - Research in Computer Science II,3 credit(s).
CSC 497 - Computer Science Internship,1 to 3 credit(s).
CSC 499 - Independent Study and Research,1 to 6 credit(s).
CTR 300 - Cooperative Education,.5 to 12 credit(s).
DGH 100 - Introduction to Digital Humanities,3 credit(s).
DSC 100 - Data Science I,3 credit(s).
DSC 101 - Data Science II,3 credit(s).
DSC 205 - Data Visualization,3 credit(s).
DSC 333 - Cloud Services for Data Science,3 credit(s).
DSC 480 - Applications of Machine Learning in Bioinformatics,3 credit(s).
DSC 490 - Data Science Capstone Project,3 credit(s).
ECO 100 - Principles of Macroeconomics,3 credit(s).
ECO 101 - Principles of Microeconomics,3 credit(s).
ECO 110 - Social Issues and Economics,3 credit(s).
ECO 200 - Macroeconomic Analysis,3 credit(s).
ECO 201 - Microeconomic Analysis,3 credit(s).
ECO 270 - Applied Business Statistics,3 credit(s).
ECO 302 - Environmental Economics,3 credit(s).
ECO 303 - Development Economics,3 credit(s).
ECO 305 - Economic Data Visualization and Analysis,3 credit(s).
ECO 307 - Urban Economics,3 credit(s).
ECO 311 - Public Finance,3 credit(s).
ECO 316 - Game Theory,3 credit(s).
ECO 320 - Health Economics,3 credit(s).
ECO 321 - Introductory Econometrics,3 credit(s).
ECO 322 - Business and Economic Forecasting,3 credit(s).
ECO 323 - Predictive Analytics for Business Data,3 credit(s).
ECO 340 - Money and Banking,3 credit(s).
ECO 350 - International Economics I: Trade,3 credit(s).
ECO 351 - International Economics II: Finance,3 credit(s).
ECO 410 - Managerial Economics,3 credit(s).
ECO 450 - Seminar in Applied Economics,3 credit(s).
ECO 497 - Internship,1 to 3 credit(s).
ECO 499 - Independent Study,1 to 3 credit(s).
EDU 106 - New Literacies: Digital Text and Tools for Learning,3 credit(s).
EDU 198 - Special Topics in Education,3 credit(s).
"EDU 200 - Teachers, Schools, and Society",3 credit(s).
EDU 206 - Principles of Early Childhood Education,3 credit(s).
EDU 300 - Student Teaching I,6 credit(s).
EDU 305 - Emerging Literacies,3 credit(s).
EDU 307 - Children’s Literature and Literacy,3 credit(s).
EDU 308 - Children’s Literature and Literacy: Early Childhood,3 credit(s).
EDU 309 - Curriculum Design and Methods for Pre-K/ K,3 credit(s).
EDU 312 - Integrated Curriculum in the Primary Classroom,3 credit(s).
EDU 316 - Child Development and Psychology for Educators,3 credit(s).
EDU 317 - Science Education in the Elementary School,3 credit(s).
"EDU 319 - Integrated Mathematics, Science, and Technology for Early Childhood Education",3 credit(s).
EDU 321 - Social Studies Curriculum and Pedagogy,1.5 credit(s).
"EDU 322 - Family, School, and Community Partnerships",3 credit(s).
EDU 325 - Best Practices in Classroom Management,3 credit(s).
EDU 326 - Culturally Responsive Positive Guidance in Early Childhood,3 credit(s).
EDU 330 - Social Studies in Elementary Schools,3 credit(s).
EDU 370 - Early Childhood Student Teaching I,5 credit(s).
EDU 400 - Student Teaching II,6 credit(s).
EDU 407 - Developing Literacies,3 credit(s).
EDU 408 - Developing Literacies in Elementary Education,3 credit(s).
EDU 413 - Secondary Education,3 credit(s).
EDU 414 - Applications of Child Development,3 credit(s).
EDU 415 - Responsive Curriculum and Assessment,3 credit(s).
EDU 424 - Teaching Mathematics in Elementary School.,3 credit(s).
EDU 444 - DSAP Supervision and Appraisal,3 credit(s).
EDU 450 - Student Teaching I,5 credit(s).
EDU 451 - Student Teaching II,5 credit(s).
EDU 470 - Early Childhood Student Teaching II,6 credit(s).
